frequency,Smag
1.216890000000000000e+10,5.389050000000000090e-02
1.224680000000000000e+10,6.207880000000000342e-02
1.232520000000000000e+10,7.041859999999999786e-02
1.240410000000000000e+10,7.889590000000000491e-02
1.248350000000000000e+10,8.750070000000000070e-02
1.256340000000000000e+10,9.622509999999999397e-02
1.264380000000000000e+10,1.050610000000000016e-01
1.272470000000000000e+10,1.140010000000000051e-01
1.280610000000000000e+10,1.230330000000000035e-01
1.288810000000000000e+10,1.321479999999999877e-01
1.297060000000000000e+10,1.413329999999999864e-01
1.305360000000000000e+10,1.505759999999999876e-01
1.313710000000000000e+10,1.598650000000000071e-01
1.322120000000000000e+10,1.691920000000000091e-01
1.330580000000000000e+10,1.785470000000000113e-01
1.339100000000000000e+10,1.879240000000000077e-01
1.347670000000000000e+10,1.973179999999999934e-01
1.356290000000000000e+10,2.067219999999999891e-01
1.364970000000000000e+10,2.161299999999999888e-01
1.373710000000000000e+10,2.255350000000000132e-01
1.382500000000000000e+10,2.349279999999999979e-01
1.391350000000000000e+10,2.442989999999999884e-01
1.400250000000000000e+10,2.536340000000000261e-01
1.409210000000000000e+10,2.629210000000000158e-01
1.418230000000000000e+10,2.721459999999999990e-01
1.427310000000000000e+10,2.812959999999999905e-01
1.436440000000000000e+10,2.903549999999999742e-01
1.445640000000000000e+10,2.993080000000000185e-01
1.454890000000000000e+10,3.081409999999999982e-01
1.464200000000000000e+10,3.168369999999999798e-01
1.473570000000000000e+10,3.253780000000000006e-01
1.483000000000000000e+10,3.337459999999999871e-01
1.492490000000000000e+10,3.419220000000000037e-01
1.502050000000000000e+10,3.498859999999999748e-01
1.511660000000000000e+10,3.576150000000000162e-01
1.521330000000000000e+10,3.650900000000000256e-01
1.531070000000000000e+10,3.722909999999999831e-01
1.540870000000000000e+10,3.791979999999999795e-01
1.550730000000000000e+10,3.857970000000000010e-01
1.560660000000000000e+10,3.920710000000000028e-01
1.570640000000000000e+10,3.980090000000000017e-01
1.580700000000000000e+10,4.035980000000000123e-01
1.590810000000000000e+10,4.088260000000000227e-01
1.600990000000000000e+10,4.136830000000000229e-01
1.611240000000000000e+10,4.181549999999999989e-01
1.621550000000000000e+10,4.222319999999999962e-01
1.631930000000000000e+10,4.259000000000000008e-01
1.642370000000000000e+10,4.291479999999999739e-01
1.652890000000000000e+10,4.319640000000000146e-01
1.663460000000000000e+10,4.343359999999999999e-01
1.674110000000000000e+10,4.362509999999999999e-01
1.684820000000000000e+10,4.376990000000000047e-01
1.695610000000000000e+10,4.386669999999999736e-01
1.706460000000000000e+10,4.391459999999999808e-01
1.717380000000000000e+10,4.391249999999999876e-01
1.728370000000000000e+10,4.385950000000000126e-01
