frequency,Smag
1.084880000000000000e+10,1.465879999999999961e-01
1.091820000000000000e+10,1.461149999999999949e-01
1.098810000000000000e+10,1.460450000000000081e-01
1.105840000000000000e+10,1.464060000000000084e-01
1.112920000000000000e+10,1.471639999999999893e-01
1.120040000000000000e+10,1.482259999999999966e-01
1.127210000000000000e+10,1.494540000000000035e-01
1.134420000000000000e+10,1.506979999999999986e-01
1.141680000000000000e+10,1.518200000000000105e-01
1.148990000000000000e+10,1.527189999999999936e-01
1.156350000000000000e+10,1.533410000000000051e-01
1.163750000000000000e+10,1.536760000000000070e-01
1.171190000000000000e+10,1.537570000000000048e-01
1.178690000000000000e+10,1.536399999999999988e-01
1.186230000000000000e+10,1.533909999999999996e-01
1.193820000000000000e+10,1.530769999999999909e-01
1.201470000000000000e+10,1.527479999999999949e-01
1.209150000000000000e+10,1.524409999999999932e-01
1.216890000000000000e+10,1.521710000000000007e-01
1.224680000000000000e+10,1.519399999999999917e-01
1.232520000000000000e+10,1.517419999999999880e-01
1.240410000000000000e+10,1.515690000000000093e-01
1.248350000000000000e+10,1.514129999999999920e-01
1.256340000000000000e+10,1.512779999999999958e-01
1.264380000000000000e+10,1.511709999999999998e-01
1.272470000000000000e+10,1.511069999999999913e-01
1.280610000000000000e+10,1.510990000000000111e-01
1.288810000000000000e+10,1.511639999999999928e-01
1.297060000000000000e+10,1.513100000000000001e-01
1.305360000000000000e+10,1.515400000000000080e-01
1.313710000000000000e+10,1.518500000000000127e-01
1.322120000000000000e+10,1.522320000000000062e-01
1.330580000000000000e+10,1.526720000000000022e-01
1.339100000000000000e+10,1.531579999999999886e-01
1.347670000000000000e+10,1.536780000000000090e-01
1.356290000000000000e+10,1.542229999999999990e-01
1.364970000000000000e+10,1.547880000000000089e-01
1.373710000000000000e+10,1.553680000000000061e-01
1.382500000000000000e+10,1.559589999999999865e-01
1.391350000000000000e+10,1.565560000000000007e-01
1.400250000000000000e+10,1.571539999999999881e-01
1.409210000000000000e+10,1.577449999999999963e-01
1.418230000000000000e+10,1.583199999999999885e-01
1.427310000000000000e+10,1.588720000000000132e-01
1.436440000000000000e+10,1.593950000000000089e-01
1.445640000000000000e+10,1.598839999999999983e-01
1.454890000000000000e+10,1.603360000000000063e-01
1.464200000000000000e+10,1.607500000000000040e-01
1.473570000000000000e+10,1.611249999999999905e-01
1.483000000000000000e+10,1.614579999999999904e-01
1.492490000000000000e+10,1.617449999999999999e-01
1.502050000000000000e+10,1.619810000000000139e-01
1.511660000000000000e+10,1.621549999999999936e-01
1.521330000000000000e+10,1.622520000000000073e-01
1.531070000000000000e+10,1.622530000000000083e-01
1.540870000000000000e+10,1.621360000000000023e-01
1.550730000000000000e+10,1.618819999999999981e-01
1.560660000000000000e+10,1.614720000000000044e-01
1.570640000000000000e+10,1.608970000000000122e-01
1.580700000000000000e+10,1.601589999999999958e-01
1.590810000000000000e+10,1.592659999999999909e-01
1.600990000000000000e+10,1.582389999999999908e-01
1.611240000000000000e+10,1.571069999999999967e-01
1.621550000000000000e+10,1.559030000000000138e-01
1.631930000000000000e+10,1.546710000000000029e-01
1.642370000000000000e+10,1.534609999999999863e-01
1.652890000000000000e+10,1.523329999999999962e-01
1.663460000000000000e+10,1.513589999999999935e-01
1.674110000000000000e+10,1.506200000000000039e-01
1.684820000000000000e+10,1.502110000000000112e-01
1.695610000000000000e+10,1.502380000000000104e-01
1.706460000000000000e+10,1.508150000000000046e-01
1.717380000000000000e+10,1.520620000000000027e-01
1.728370000000000000e+10,1.540990000000000137e-01
1.739430000000000000e+10,1.570419999999999872e-01
1.750570000000000000e+10,1.609949999999999992e-01
1.761770000000000000e+10,1.660429999999999962e-01
1.773040000000000000e+10,1.722519999999999885e-01
1.784390000000000000e+10,1.796609999999999874e-01
1.795810000000000000e+10,1.882850000000000079e-01
1.807310000000000000e+10,1.981159999999999866e-01
